,user_address,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,CR,log10_borrow
2045,0x9AcDA0bbC8E2Be53db230B1Fa7E1743262842B77,1.0,0.0,0.0,0.0,0.0,0.0,1.5995537003732718,2.0679520076309825
2046,0x0909C4F2D04055e73Fb2009E8f95130D3E4DA2ED,1.0,0.0,0.0,0.0,0.0,0.0,1.4995853156231076,2.067949391308105
2063,0x1e84d1B14Eb0ef078a0D26e37c930FC0a8EC71e6,0.0,1.0,0.0,0.0,0.0,0.0,1.4296451343561698,3.2242029730224733
2067,0x6B979E8628cDD7576ffC00eF07592580Aa935AFF,0.0,0.0,0.4336538606322531,0.0260537734294525,0.4188892721971133,0.1214030937411808,1.6018980756621282,2.06785395714482
2096,0x7A904Ee4720a667da4E8dAE58B59f143FA6959DE,1.0,0.0,0.0,0.0,0.0,0.0,2.4690038851147484,1.0494354559916397
2097,0xD7563A973EdFA492f579EF3978536fa042445240,1.0,0.0,0.0,0.0,0.0,0.0,2.469004386675297,1.0490759467500534
2098,0x929C44f3C89DdFF931faFb364aB96c57d8060361,1.0,0.0,0.0,0.0,0.0,0.0,2.4690048989309403,1.0493399049200185
2099,0xCDBbEc9b78050B5d600992770bF159cE8e26E053,1.0,0.0,0.0,0.0,0.0,0.0,2.469008853076488,1.5797605923926965
2104,0x3aB6732D99F19B44106f1Abc48E58127104Cfd96,1.0,0.0,0.0,0.0,0.0,0.0,1.3914350640316795,5.6649603200788725
2576,0x13b2d56DE62F65Cfd389cB6a2F275c272D7C850E,0.0906629172366321,0.0,0.7883192413153673,0.0,0.0,0.1210178414480006,1.985187659544149,3.909593348358027
2593,0x3d40aC1fF6c11eA200a86E9bC761c244149ba5c0,1.0,0.0,0.0,0.0,0.0,0.0,1.4496681428460432,2.542408171059789
2607,0xC184C5768251F0A1dC2e7aEA24585f62D2381665,1.0,0.0,0.0,0.0,0.0,0.0,1.2636580111747204,6.289427833241692
2609,0xE4c2D15df0c02c932d19d1D178E242aa23951e2e,0.0,0.0,0.0,0.0,1.0,0.0,1.7101259114580496,3.8721776774682697
2631,0x0E61A5d840B883d234940c738cF49A2AeBfAf1C8,1.0,0.0,0.0,0.0,0.0,0.0,2.299802892422865,1.3410496053452592
2632,0xbc2337fc59bC693E6FFb282Ef4950478072c1A86,1.0,0.0,0.0,0.0,0.0,0.0,3.601141269764506,1.4172296576320909
2637,0x9C7A3e3eFd0CEC787C432535F27DE6C755fB4870,0.5273433559488537,0.0,0.4666132399152242,0.0,0.006043404135922,0.0,1.4651992719410507,3.7508613076198793
2664,0x491fFC953E1aB2751817ff90A5f32694a4841474,1.0,0.0,0.0,0.0,0.0,0.0,1.3130175389067684,3.015040002851749
2671,0xA67e311B9c5915998C86866652092c5dE332d7a8,0.0,0.0,0.5,0.0,0.0,0.5,2.325543191102393,1.5575533974085525
2677,0xB5584bFdb0f869F35764f975Da6C482E29e871c0,1.0,0.0,0.0,0.0,0.0,0.0,1.313166048991308,2.2650650384775552
2713,0x174EC3Dd777A4d02fa2305a451141C3C151Cf65B,1.0,0.0,0.0,0.0,0.0,0.0,1.3731954373567306,1.4887589558266945
2714,0x2bedB0F8d86c53f45A5ff38e4a2d33E1C0DA4515,1.0,0.0,0.0,0.0,0.0,0.0,1.4484777817416408,1.812677213805396
2723,0x4d445C33dC304f07EDB34f00C90c4CB1Ab947FaC,1.0,0.0,0.0,0.0,0.0,0.0,1.985822943985157,3.373422648248005
2730,0xa14208489e2e9Ba74f08636EbC5a03Fb0a4F6568,1.0,0.0,0.0,0.0,0.0,0.0,1.3458264786042091,1.8219612441726687
2733,0x0C9e20B9046f31DA1E84B1B968b5FFF23e815FD6,1.0,0.0,0.0,0.0,0.0,0.0,2.47326587458511,2.977846089337386
2738,0x26DAc33aCcf8D28cf26CcC0135d8c6EE3233a2E7,0.0,1.0,0.0,0.0,0.0,0.0,1.4536525591321927,5.6472559653495225
2752,0xb4fbd802d9dc5C0208346c311BCB6B9ECFF468C6,0.0,0.0,0.2478672167828922,0.0951593810884216,0.4091727187877654,0.2478006833409207,1.3442514618525263,3.709818753533979
2771,0x85B3C124A704aE638622A1e99310F22eEE7279c6,0.0,0.0,0.8911089710416317,0.0,0.0,0.1088910289583684,1.5967515516683757,3.924432682108392
2822,0x9e67663C01e86C7bd8C3cd2285c681Dbad1C8327,1.0,0.0,0.0,0.0,0.0,0.0,1.3751397952683624,6.717333030954482
2856,0xbBf15e008535cB93A7e2168038DC316c56faf791,0.0,0.0,1.0,0.0,0.0,0.0,1.5011588084094771,3.7884815501212254
2866,0x724EBE69AE66F5e5F731920dB39CC9235d3FF036,0.0,0.0,0.0,0.0,1.0,0.0,1.7811812293456166,1.4596026789119785
2869,0x184Af3b38035F80d8F7E16FaCbB4344B3db09368,1.0,0.0,0.0,0.0,0.0,0.0,2.988482079969806,1.372996764808714
2870,0xbe003aa7a602e754fa2aBC342Fc467fdd678bc4e,1.0,0.0,0.0,0.0,0.0,0.0,1.3282655276095063,1.5478185149273194
2871,0x874d7F6472958e157815DD50B8293a3d02fD094c,1.0,0.0,0.0,0.0,0.0,0.0,1.3935284337330245,1.4689948656550025
2872,0xf299eA65eF11197c562bd83A67cdCB678d8280c5,0.0,0.0,0.0,0.0,1.0,0.0,2.4733446917171453,1.4309548921700532
2874,0xdCEFff05f1df8d2474A73E1B40928e1d1b2F3646,1.0,0.0,0.0,0.0,0.0,0.0,2.983580751773585,1.3722791450736724
2876,0x2C79ef440545a8528ad89fb9a3801f68Fa531Ee0,1.0,0.0,0.0,0.0,0.0,0.0,1.5958283832111066,1.7708037411099986
2891,0x6B9B0C04Eb5b3D5eD8b667b8983C9DFD16BA3F42,1.0,0.0,0.0,0.0,0.0,0.0,2.64968264063158,1.2491823958376416
2892,0xE439576d8C65F0C080d1882ee85ee106a7B3B125,1.0,0.0,0.0,0.0,0.0,0.0,1.6560664312355964,1.8498023764891447
2897,0xca4aD39F872E89Ef23eABd5716363Fc22513E147,0.0,0.0,0.749668133467816,0.0,0.0,0.250331866532184,2.019816256292541,4.446497508059103
2898,0x41c619D96D4a875BEf0bF51988ca93838B6e4C84,1.0,0.0,0.0,0.0,0.0,0.0,1.7101679279956126,1.916644450559736
2899,0x25e03b2E9903442F9F350f3F6F711632b39679D0,1.0,0.0,0.0,0.0,0.0,0.0,1.4936352915344715,1.672726477946142
2913,0x9812d15dC214B1C845d7eff55a2a533a8c90fA38,1.0,0.0,0.0,0.0,0.0,0.0,1.6579359133840263,1.8492031375499625
2956,0x460808Bb2E79E5b84994105b601A13e33C29a45f,1.0,0.0,0.0,0.0,0.0,0.0,1.3135016692175987,1.0573553238073228
2958,0xb4521335B0aDc61B1ee85029CD6d2AEDb7b6046d,0.467476828721955,0.5325231712780449,0.0,0.0,0.0,0.0,1.3526614934101868,1.6468382534554695
2964,0x63BBCBd285362ed01dc37C34597ce17836493356,1.0,0.0,0.0,0.0,0.0,0.0,1.4934074617850577,1.6720778337007791
2975,0x689b0Aa3C291E334Ec4cB3c90c97700B81f2d135,1.0,0.0,0.0,0.0,0.0,0.0,1.279818752963355,2.0091436123291464
2997,0x12c9CB03c9e1b36Fd48Fa17b7e7054b692dbFAD6,1.0,0.0,0.0,0.0,0.0,0.0,1.4936554094166463,1.672799512554607
3045,0x6c51d544C1AC203148484b35E8d0e741cFB67DcE,1.0,0.0,0.0,0.0,0.0,0.0,1.5355045141783403,4.787656182836055
3057,0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0.0,1.0,0.0,0.0,0.0,0.0,1.4473566626519103,1.8792976915372568
3100,0x62b08A2F1C0F4E4F4ce942Ab616825D876414f04,1.0,0.0,0.0,0.0,0.0,0.0,1.2464359121961397,2.5697431069294567
3150,0x17eB245F522c05119ec6924Bdf1ca75226Be8007,1.0,0.0,0.0,0.0,0.0,0.0,1.493043060676562,1.3712187462407797
3199,0x213208bEFdf8462Be5788f7b617C0CFdf0C92Bee,1.0,0.0,0.0,0.0,0.0,0.0,1.4932293547944937,2.119319362680389
