,user_address,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,CR,log10_borrow
189094,0xb4fbd802d9dc5C0208346c311BCB6B9ECFF468C6,0.0,0.0,0.4458709090808888,0.1740977624176309,0.2786740719415408,0.1013572565599395,1.3592582294200484,4.501804361666654
189113,0x85B3C124A704aE638622A1e99310F22eEE7279c6,0.0,0.0,0.9037070844756006,0.0,0.0,0.0962929155243993,1.7190193423663849,4.293113721244566
189117,0x7EcD7aDbe7F29377021cBfE10468E635a13Dd463,1.0,0.0,0.0,0.0,0.0,0.0,1.5236493595808318,2.954214949820384
189121,0x6c97Be81E861fa10fE217de87B7514173f4B6640,1.0,0.0,0.0,0.0,0.0,0.0,2.8989231466730545,2.957577428224859
189143,0x23D07C846ddA0234a1F3561Ea8db3563413ef7d7,0.3026155196761905,0.0,0.6973844803238096,0.0,0.0,0.0,3.043515313412761,4.9683970414269085
189219,0xF93A5F0A4925EeC32cD585641c88a498523f383C,2.220376780297601e-09,0.0,0.4999999988898116,0.0,0.0,0.4999999988898116,2.255839806129364,3.6020460311166267
189239,0xca4aD39F872E89Ef23eABd5716363Fc22513E147,2.314473521026655e-05,0.0,0.7689458697933248,0.0,0.0,0.231030985471465,2.21901917375323,5.017032939089988
189269,0xa064B34DC0aEeF23e48B400DC4b0A3f940B55865,1.0,0.0,0.0,0.0,0.0,0.0,2.3806501028858515,5.120226193074412
189308,0xBFDf97C84214A64ad1a95B7133fba0A4314EBb42,0.0,0.0,0.442952714347519,0.0,0.557047285652481,0.0,2.2578966256948263,3.749596320400717
189349,0xEa5CB7958E580b2e7E89e41264502744EfdAc43f,0.0,0.0,0.5832864803462829,0.0,0.0,0.4167135196537171,1.5064900511819774,4.065966234274378
189394,0x70429D6362E07d6986889756d4047D66e0802F8e,1.0,0.0,0.0,0.0,0.0,0.0,3.0108567242056274,2.188834171804796
189530,0x47F269D4bcAECdFed3110C0200db50345f797DbC,1.0,0.0,0.0,0.0,0.0,0.0,2.4380847150204583,1.3325082456790132
189540,0x2f01560D567eE32167E86ECf61805805071F9500,1.0,0.0,0.0,0.0,0.0,0.0,2.4281780921024514,1.3351352725806114
189548,0x0F301916f3347E358C1362B883260A450D9EA161,1.0,0.0,0.0,0.0,0.0,0.0,2.623651669452841,1.316829599491905
189810,0xE43fA6CBb7DdA0bD863593c5E75fAe9B4dCD5CD4,0.7632602534143912,0.0,0.2367397465856087,0.0,0.0,0.0,2.2054898975782957,4.148684279053835
189884,0xbE026AE67432eFa9aD85b897A70e0BaB0Dcb1CEA,1.0,0.0,0.0,0.0,0.0,0.0,1.88839501198978,4.447365460193018
189906,0xD77B92abE0232a85DF4228154C18b9Be305D9EA1,0.5867672517754005,0.0,0.4132327482245995,0.0,0.0,0.0,1.6272061048528057,4.301008377439749
190245,0xCe64a3542A73740A0b625866ef1A7b5990225d20,0.6732691881952402,0.0,0.0,0.0,0.3267308118047599,0.0,1.9705580589846088,3.198054971494903
190275,0x888bd1C669de602CC66067d5353c84847cAa6156,1.0,0.0,0.0,0.0,0.0,0.0,3.072971871030879,3.531599546511356
190411,0xce8453cc4200c37B25FEF3C8C90f544D1370e248,1.0,0.0,0.0,0.0,0.0,0.0,2.5140574335536825,2.252270608133658
190467,0x5cE34971BeE7F6eEc998D2A171e2a1dE61F9e3D6,0.5982236556657751,0.0,0.0,0.0,0.4017763443342249,0.0,1.3688262181243247,3.000866312129706
190468,0xcdb5193734DfC338663ca7Fa47fd6ecd1a3B9715,0.4468790895436691,0.5531209104563308,0.0,0.0,0.0,0.0,1.3910575870535378,3.1148200599668447
190582,0xcCb8E090Fe070945cC0131a075B6e1EA8F208812,0.0,0.0023743109815169,0.0,0.0478266594544641,0.949799029564019,0.0,1.6271415095908843,6.11392136411737
190612,0xCEa51025f8046E4aB4Df3092bED64dd9EbEEaDa1,0.0,0.0,0.9986882605470272,0.0,0.0013117394529729,0.0,1.6026627258665165,3.587318749023612
190670,0xA51CC4578939370d3b680F145830b362585964D5,0.0,0.0,0.0,2.9223904005249275e-08,0.999999970776096,0.0,1.3409037649187927,5.650579673851649
190674,0xEA3e3612175a894362f3062785adC133D9b98f10,0.0,0.0,1.9768548689336807e-10,0.0,0.0,0.9999999998023146,1.6046638111571374,3.864733628801145
190703,0xC53fe73AAD87029c1CebAEAE149b574B9ecD7F0b,0.0,0.0,0.7678940579993159,0.0,0.0,0.232105942000684,1.6463036525957662,3.700992363140125
190727,0x783dCA6F7B25E155123a5ea77Ff2F7Dd1deeeF85,0.0,0.0,0.0,0.2044705362941759,0.0,0.795529463705824,1.7845986008039985,3.4791222692677435
190737,0x6B979E8628cDD7576ffC00eF07592580Aa935AFF,0.0,0.0,0.4576711579114472,0.0167962423752349,0.4161024867852283,0.1094301129280895,2.4357036722066825,1.7789054029203175
190743,0xAdffC760EDF4f6146dce89022B5AE7EbB7edD2B9,0.0,0.0,1.0,0.0,0.0,0.0,2.2747051437660804,3.085766266127763
190744,0x14a1C38E0416dC1Acc1AB714062Ffa786f5640eA,0.0,0.0,1.0,0.0,0.0,0.0,2.370830377189192,3.342658974401576
190949,0x4AB14276AF9dF6E1CA74B172008C789241197952,1.0,0.0,0.0,0.0,0.0,0.0,1.9124770335135255,3.829490592903319
190966,0x9f88CE4eB5fbbDca7d911Fa75c6f8fBd95D2BBbc,1.0,0.0,0.0,0.0,0.0,0.0,1.991638408161641,4.069476107762176
190967,0x3d40aC1fF6c11eA200a86E9bC761c244149ba5c0,1.0,0.0,0.0,0.0,0.0,0.0,1.5221284902750651,3.7889920966806
190974,0x63AE5AA785c90749207dBaB0DEf91c2313724c9a,1.5144456504167235e-08,0.0,0.984242071471186,0.0,0.0,0.0157579133843574,1.817501630408108,4.605179845344377
191009,0x793E92dD9aDE375eC813616325a2326cb60ED91F,1.0,0.0,0.0,0.0,0.0,0.0,1.612696951785552,3.533528830055256
191028,0x3F7C10cBbb1EA1046a80B738b9Eaf3217410c7F6,0.1749231354849753,0.0,0.7993537578474736,0.0,0.0,0.0257231066675509,2.1369428452191253,5.452858405815398
